Package Name,Description,Created,Modified,Versions Count,Version,Version Size (MB),Version Created,Version Modified,Download Count
stig-manager,,2024-05-07T00:23:54.585Z,2024-05-07T00:22:29.716Z,1,,0.0,,,0
stationa/osmium-tool,,2023-11-16T14:32:03.642Z,2023-11-16T14:30:44.878Z,2,,0.0,,,0
standard-alpine-python,,2024-10-07T17:11:34.194Z,2025-01-08T17:14:52.895Z,3,,0.0,,,0
standard-alpine-os,,2024-10-08T15:19:31.941Z,2024-10-08T19:49:13.148Z,1,,0.0,,,0
spring-petclinic-angular,,2024-02-28T14:02:19.263Z,2024-03-27T09:23:16.997Z,1,,0.0,,,0
spring-petclinic-3.2.0-snapshot,,2024-02-13T23:50:23.237Z,2024-02-14T10:47:14.687Z,2,,0.0,,,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,14736596759,269.34,2025-04-29T16:40:14.405Z,2025-04-29T16:39:15.817Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,15055930560,269.34,2025-05-15T21:58:15.127Z,2025-05-15T21:57:00.188Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,14737310346,269.34,2025-04-29T17:20:12.427Z,2025-04-29T17:18:45.398Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,14736036074,269.34,2025-04-29T16:11:43.712Z,2025-04-29T16:10:39.008Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__122014f4760426683f79c9b769459a607b73021c00fec9f4bba3824236d0ab18,0.0,2025-03-15T18:15:32.269Z,2025-03-15T18:14:10.501Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__caeef18311eec705135de955039462e4bc7b21dff3dc8dff2e01e80709f4f32e,201.12,2025-03-15T18:15:32.29Z,2025-03-15T18:14:10.825Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__d260365d62531ce1f4bbc34cb1ff4054e58efbddf8f7c0b76fbc39587473d8df,141.16,2025-06-03T03:13:15.613Z,2025-06-03T03:11:24.724Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__7681765d5876c2220e72aaeadfae9fa628dba201fdfdfe48a6516fc163739165,0.0,2025-06-16T20:49:32.686Z,2025-06-16T20:47:51.849Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__3309441a4913dc9d54ed67ffd5e410f801f7d3b7f9e54a7a9e642093f9bf23e1,199.87,2025-03-15T00:08:23.949Z,2025-03-15T00:06:43.894Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__f553203604e4279fe336f55a318d6a1d0bd4be5fd4bc6d049c9076adcfa0bd52,199.87,2025-03-15T00:38:24.362Z,2025-03-15T00:37:02.793Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__91867e1255a4b6abef2ac0e733b0e3023800bcc6ea3d301a9385548d8372be5d,0.0,2025-02-15T00:50:49.589Z,2025-02-15T00:49:26.929Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__e019824c94f0edf1efbdb5d3b333abc85ff7c56098215f193dc0b8c493c6df34,199.87,2025-02-15T00:50:49.54Z,2025-02-15T00:49:27.474Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__db099008def90c7634e28023268acc9905e639f62c56b72653407fd1aa13b55d,199.88,2025-05-16T23:10:55.045Z,2025-05-16T23:04:27.119Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__7874084fb81c6d0cba0688b2ad2fd659a9d48e53f78aeedb79c3854910130886,0.0,2025-06-11T18:37:15.372Z,2025-06-11T18:36:01.752Z,1
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__b394349db63d2b3e874a7bc8c54940155c1aa2f51238ec64c0fef6bd1417f694,0.0,2025-03-15T00:45:24.802Z,2025-03-15T00:43:37.538Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__6271468fca57b7481895ec87e485c4014fdad1f32644833ff244cd0e01540d01,199.87,2025-03-07T20:22:03.706Z,2025-03-07T20:20:18.769Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__581071ceb7ea514bd642deaa1c423266bb9bc8b15a112bfd8eb293e8c18c1b5a,199.87,2025-03-15T00:45:24.804Z,2025-03-15T00:43:36.908Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__cea1114014dabfc7d8a3f44b52a4cdf5c07f3c627055033b79a58a676963fc19,0.0,2025-04-17T19:17:53.089Z,2025-04-17T19:15:59.541Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__47856b7e8d2664ed89c67b9cb9db83b5fc2234b22667766e3d89c3f6202e9023,0.0,2025-06-06T21:21:11.885Z,2025-06-06T21:19:35.369Z,1
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__cb30824d6feb1ae748cab345d2e9523702cc779c2710b76269295f3cfa00ecbe,0.0,2025-02-14T23:28:48.3Z,2025-02-14T23:27:23.328Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__40707605ce6c09ba5daad1719e29b7ef1cbc0a39917b2c789e8c6ec84b4706d5,201.12,2025-02-20T23:40:16.354Z,2025-02-20T23:38:20.771Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__223351bfff4a3555998cb040d7cc448fec9ae36d8bcc67bbb7f5f4d3698178aa,0.0,2025-04-15T18:35:32.335Z,2025-04-15T18:34:13.4Z,0
